views,mature,life_time,created_at,updated_at,numeric_id,dead_account,language,affiliate
7879,1,969,2/16/2016,10/12/2018,0,0,EN,1
500,0,2699,5/19/2011,10/8/2018,1,0,EN,0
382502,1,3149,2/27/2010,10/12/2018,2,0,EN,1
386,0,1344,1/26/2015,10/1/2018,3,0,EN,0
2486,0,1784,11/22/2013,10/11/2018,4,0,EN,0
4987,1,1288,4/3/2015,10/12/2018,5,0,EN,1
234,0,358,9/14/2017,9/7/2018,6,0,EN,0
775,1,577,3/14/2017,10/12/2018,7,0,FR,0
69020,0,1781,11/22/2013,10/8/2018,8,0,EN,0
32073,0,499,5/31/2017,10/12/2018,9,0,KO,1
94,0,1879,8/17/2013,10/9/2018,10,0,EN,0
10254468,0,1715,1/31/2014,10/12/2018,11,0,EN,0
2178,0,908,4/16/2016,10/11/2018,12,0,JA,0
4871,0,449,7/19/2017,10/11/2018,13,0,EN,0
2002,0,1910,5/17/2013,8/9/2018,14,0,RU,0
33882,1,2134,12/8/2012,10/12/2018,15,0,EN,1
200,0,324,10/21/2017,9/10/2018,16,0,EN,0
11624,1,2299,6/15/2012,10/1/2018,17,0,EN,0
1160,0,1050,11/26/2015,10/11/2018,18,0,EN,0
144812,1,2175,10/28/2012,10/12/2018,19,0,EN,1
1885,1,2273,7/21/2012,10/11/2018,20,0,EN,1
52160,0,2845,12/27/2010,10/11/2018,21,0,EN,0
212680,1,2056,2/24/2013,10/12/2018,22,0,PL,0
14538,0,998,1/16/2016,10/10/2018,23,0,RU,1
339218,1,1868,8/31/2013,10/12/2018,24,0,EN,1
1025,0,1207,6/18/2015,10/7/2018,25,0,DE,0
9528,0,1459,10/14/2014,10/12/2018,26,0,EN,1
2802,1,1931,6/29/2013,10/12/2018,27,0,EN,0
162078,1,2149,11/23/2012,10/12/2018,28,0,DE,1
2585,1,861,6/2/2016,10/11/2018,29,0,FR,0
1370,1,1574,5/24/2014,9/14/2018,30,0,DE,0
4405,0,1522,8/8/2014,10/8/2018,31,0,ES,1
21502,0,2729,4/8/2011,9/27/2018,32,0,EN,0
745,0,1027,12/20/2015,10/12/2018,33,0,EN,0
17042,1,961,2/23/2016,10/11/2018,34,0,IT,1
2559,0,2066,1/21/2013,9/18/2018,35,0,EN,0
5950,1,3394,6/27/2009,10/12/2018,36,0,EN,1
8231,0,1648,4/3/2014,10/7/2018,37,0,EN,1
879,1,1139,8/29/2015,10/11/2018,38,0,EN,0
3615,1,1629,4/25/2014,10/10/2018,39,0,EN,1
2497,1,1020,12/27/2015,10/12/2018,40,0,EN,1
19442,1,2185,10/18/2012,10/12/2018,41,0,EN,0
8541,1,1738,1/7/2014,10/11/2018,42,0,RU,0
3874,0,1010,1/6/2016,10/12/2018,43,0,EN,1
14944,0,2081,1/13/2013,9/25/2018,44,0,EN,0
46546,1,411,8/27/2017,10/12/2018,45,0,EN,1
711,1,1948,6/10/2013,10/10/2018,46,0,EN,0
9273,0,1101,10/6/2015,10/11/2018,47,0,EN,1
1566,0,523,5/6/2017,10/11/2018,48,0,FR,1
5667,0,1684,2/20/2014,10/1/2018,49,0,EN,1
123420,0,1000,1/16/2016,10/12/2018,50,0,EN,1
5863,1,953,2/29/2016,10/9/2018,51,0,EN,1
370,0,3310,9/19/2009,10/12/2018,52,0,EN,0
795,1,489,5/13/2017,9/14/2018,53,0,EN,0
9713,0,2234,8/30/2012,10/12/2018,54,0,FR,1
6043,1,1034,12/13/2015,10/12/2018,55,0,EN,1
28380,0,2117,12/24/2012,10/11/2018,56,0,EN,1
256,1,1244,4/12/2015,9/7/2018,57,0,EN,0
8788,1,2339,5/14/2012,10/9/2018,58,0,EN,0
383,0,361,10/12/2017,10/8/2018,59,0,EN,0
856821,1,3493,3/20/2009,10/12/2018,60,0,EN,1
744,0,894,4/29/2016,10/10/2018,61,0,EN,0
1168,1,1896,7/27/2013,10/5/2018,62,0,EN,0
12359,1,406,9/1/2017,10/12/2018,63,0,EN,1
996,1,1574,6/18/2014,10/9/2018,64,0,EN,0
5594,1,741,10/1/2016,10/12/2018,65,0,EN,1
39110,1,1863,9/5/2013,10/12/2018,66,0,FR,1
929459,0,1943,6/17/2013,10/12/2018,67,0,PT,0
9350,0,715,10/27/2016,10/12/2018,68,0,KO,1
4594,0,1820,10/17/2013,10/11/2018,69,0,EN,0
3059,0,182,4/12/2018,10/11/2018,70,0,EN,1
75,1,1769,11/30/2013,10/4/2018,71,0,EN,0
